UPM;VIV_SEL;HOGAR;P2_4;P2_5;P2_6;P2_7;P2_8;P2_9_1;P2_9_2;P2_9_3;P2_9_4;P2_9_5;P2_9_6;P5_2;P5_3;P5_4;P6_1_1;P6_1_2;P6_1_3;P6_1_4;P6_1_5;P6_1_6;P6_1_7;P6_1_8;P6_1_9;P6_1_10;P6_1_11;P6_1_12;P6_1_13;P6_1_14;P6_1_15;P7_1_1;P7_1_2;P7_1_3;P7_1_4;P7_1_5;P7_1_6;P7_1_7;P7_1_8;P7_1_9;P7_1_10;P7_1_11;P7_1_12;P7_1_13;P7_1_14;P7_1_15;P7_1_16;P7_2_1;P7_2_2;P7_2_3;P7_2_4;P7_2_5;P7_2_6;P7_2_7;P7_2_8;P7_2_9;P7_3_1;P7_3_1M;P7_3_2;P7_3_2M;P7_3_3;P7_3_3M;P7_3_4;P7_3_4M;P7_3_5;P7_3_5M;P7_3_6;P7_3_6M;P7_4;P7_5;NUMREN;PA_2;PA_3_1;PA_3_2;P5_1_01;P5_1_02;P5_1_03;P5_1_04;P5_1_05;P5_1_06;P5_1_07;P5_1_08;P5_1_09;P5_1_10;P5_1_11;P5_1_12;P5_1_13;P5_1_14;P5_1_15;P5_1_16;P5_1_17;P5_1_18;P5_1_19;ENT;DOMINIO;REGION;EST_DIS;UPM_DIS;ESTRATO;FAC_HOGAR
00036;02;1;03;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;2;1;1;1;2;2;1;1;1;1;2;1;2;0200;0150;0000;0000;0100;0000;0300;0150;0070;0000;0000;0020;0000;0000;0300;0450;000000;000000;000000;008000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;03; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;2;006;00036;3;237
00036;03;1;04;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;2;1;1;1;1;1;1;1;1;1;2;1;2;0200;0200;0030;0020;0050;0020;0120;0100;0040;0000;0000;0060;0040;0000;0000;0100;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;02; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;2;006;00036;3;237
00036;04;1;05;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;1;2;2;1;1;2;1;1;1;1;2;1;1;0000;0000;0045;0020;0000;0000;0200;0100;0000;0000;0000;0000;0300;0000;0000;0000;000000;000000;000000;000000;000000;000000;002800;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;02; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;2;006;00036;3;237
00036;05;1;05;2; ; ;2; ; ; ; ; ; ;1;1;010010002693602;1;2;2;1;2;1;1;2;1;1;1;1;2;1;2;0200;0200;0096;0085;0080;0012;0200;0127;0023;0020;0079;0070;0009;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;01;999999;02; ; ; ;1;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;2;006;00036;3;237
00037;01;1;08;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;2;2;2;1;2;2;1;1;1;1;2;1;2;0100;0060;0060;0040;0040;0035;0200;0100;0100;0050;0000;0050;0050;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;2;006;00037;3;226
00037;02;1;03;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;2;2;1;1;1;1;1;1;1;1;2;1;1;0000;0070;0090;0100;0050;0050;0100;0100;0030;0000;0000;0035;0032;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;2;006;00037;3;226
00037;03;1;02;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;0098;0020;0049;0000;0000;0060;0200;0036;0000;0000;0090;0023;0000;0000;0350;0180;000000;000000;000000;001500;000000;000000;000000;000000;000000;1;001500;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;2;006;00037;3;226
00037;04;1;01;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;1;2;2;1;2;2;2;2;1;2;2;2;2;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0050;0050;0000;0000;0020;0350;000000;000000;000000;000000;000200;000000;000000;000000;000000;1;000200;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;2;006;00037;3;226
00037;05;1;01;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;1;2;2;1;2;1;1;1;1;1;2;1;1;0060;0000;0014;0000;0000;0017;0135;0000;0046;0000;0000;0010;0000;0000;0000;0175;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;2;006;00037;3;226
00038;01;1;04;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;2;2;2;1;1;2;1;1;1;1;2;2;2;0100;0100;0140;0100;0080;0050;0300;0100;0050;0030;0060;0056;0100;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;2;005;00038;2;218
00038;02;1;05;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;2;1;2;1;2;2;1;2;2;1;2;1;2;0100;0100;0084;0030;0060;0040;0150;0050;0050;0000;0000;0030;0050;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;2;005;00038;2;218
00038;03;1;03;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;1;1;2;1;2;2;1;1;1;1;2;1;2;0150;0100;0050;0000;0000;0100;0000;0050;0050;0000;0000;0000;0100;0000;0000;0000;000000;000000;000000;000000;000350;000000;000000;000000;000000;1;002000;2; ;2; ;2; ;2; ;2; ;00; ;02; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;2;005;00038;2;218
00038;04;1;04;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;2;2;2;1;2;2;1;1;2;1;2;1;2;0100;0100;0060;0060;0100;0040;0100;0100;0030;0000;0000;0032;0050;0000;0000;0100;000000;000000;000000;000000;000000;000000;000000;000000;000000;1;003600;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;2;005;00038;2;218
