Feature,Coefficient,Odds_Ratio,Target
cat__ENT_22,3.083413255957227,21.832796283258727,SO_ESPEN
cat__ENT_6,2.423321494558598,11.283274478135548,SO_ESPEN
cat__ENT_18,1.8429857285970666,6.315366108810048,SO_ESPEN
cat__ENT_8,1.2568333633552726,3.5142754155890636,SO_ESPEN
cat__ENT_12,1.2489369013163831,3.4866343501154686,SO_ESPEN
cat__ENT_21,1.2222230946486556,3.3947261487464377,SO_ESPEN
cat__ENT_26,1.11423674903642,3.047241481371544,SO_ESPEN
cat__ENT_11,1.0216430438973962,2.7777549899974017,SO_ESPEN
cat__ENT_5,0.8672005185376052,2.3802380853407894,SO_ESPEN
cat__ENT_24,0.8200510225966902,2.270615687285354,SO_ESPEN
cat__ENT_17,0.7949404955973081,2.214309231735603,SO_ESPEN
cat__ENT_7,0.686089061754317,1.9859334624314728,SO_ESPEN
cat__ENT_16,0.5675989056085282,1.7640263685112882,SO_ESPEN
cat__ENT_19,0.5081066898045148,1.66214126498624,SO_ESPEN
cat__REGION_3,0.48488614620945664,1.6239901008894022,SO_ESPEN
cat__ENT_32,0.376630109225153,1.457365143738924,SO_ESPEN
cat__ENT_13,0.23634891031587968,1.266616168525386,SO_ESPEN
cat__ENT_30,0.15987105828288187,1.1733595662400047,SO_ESPEN
cat__REGION_4,0.10581332308758118,1.1116143444027937,SO_ESPEN
num__VIT_B12,0.04520574092208389,1.046243092785486,SO_ESPEN
cat__ENT_20,0.032165273473198974,1.0326881671619093,SO_ESPEN
cat__ENT_28,-0.03308811085946524,0.9674533126906247,SO_ESPEN
cat__ENT_27,-0.05909833360678914,0.9426140739579453,SO_ESPEN
num__CINTURA21_1,-0.16950030455266515,0.844086497411531,SO_ESPEN
num__FERRITINA,-0.18829513403894085,0.8283701909117288,SO_ESPEN
cat__ENT_10,-0.36072201288744343,0.6971727765788301,SO_ESPEN
num__CRP,-0.44932869297053635,0.6380563395888567,SO_ESPEN
cat__ENT_31,-0.4676591432465932,0.626467022784682,SO_ESPEN
cat__REGION_2,-0.6304330846846694,0.5323611935945742,SO_ESPEN
cat__ENT_4,-0.6749535707034217,0.5091800609308038,SO_ESPEN
cat__ENT_25,-0.8135384165308797,0.4432867547043017,SO_ESPEN
cat__ENT_9,-0.8765787860676449,0.41620440298434297,SO_ESPEN
cat__ENT_15,-0.9128840122138387,0.401365011649975,SO_ESPEN
cat__ENT_14,-0.9235730792163734,0.39709764187970203,SO_ESPEN
num__HCST,-0.9968227923144836,0.36905012933418274,SO_ESPEN
cat__ENT_23,-1.0920472150666836,0.3355288903113155,SO_ESPEN
cat__ENT_29,-1.1860627140801632,0.3054214313165984,SO_ESPEN
cat__ENT_2,-2.193049701588446,0.11157595585354708,SO_ESPEN
cat__ENT_3,-3.0250584020323004,0.04855498547737255,SO_ESPEN
num__CIRCPANTORRILLA19_1,-9.576536940199821,6.933664939933064e-05,SO_ESPEN
