Feature,Coefficient,Odds_Ratio,Target
cat__ENT_16,2.1019254197480657,8.181908364083858,SO_SIMP_1
cat__ENT_30,1.6103028953534324,5.004326785624717,SO_SIMP_1
cat__ENT_17,1.5976685874847052,4.941498313222246,SO_SIMP_1
cat__ENT_31,1.5630354834893092,4.773288514926691,SO_SIMP_1
num__BFP,1.5436971666936095,4.68186795834169,SO_SIMP_1
cat__ENT_19,1.5370209723458657,4.650715005237294,SO_SIMP_1
cat__ENT_32,1.5347494147292553,4.640162627848578,SO_SIMP_1
cat__ENT_23,1.3892495336487294,4.011838173422526,SO_SIMP_1
cat__ENT_15,1.371213488995159,3.940129098915143,SO_SIMP_1
cat__ENT_8,1.2231079538217713,3.397731332705586,SO_SIMP_1
cat__ENT_11,1.1755022170649423,3.239769602916863,SO_SIMP_1
num__ASMI,0.8925953379788617,2.441457844104786,SO_SIMP_1
cat__ENT_3,0.7496179561346871,2.1161913842198183,SO_SIMP_1
cat__REGION_4,0.6803204431199178,1.9745103491227518,SO_SIMP_1
cat__ENT_26,0.6195583634983458,1.8581072526276945,SO_SIMP_1
cat__ENT_13,0.5823680735513153,1.7902729129233501,SO_SIMP_1
cat__ENT_24,0.5417184746166626,1.7189583116887286,SO_SIMP_1
cat__ENT_27,0.40294316552234705,1.4962218522595943,SO_SIMP_1
cat__ENT_12,0.16804224509245042,1.1829865849698682,SO_SIMP_1
cat__ENT_25,0.15787803183325289,1.1710233584248617,SO_SIMP_1
num__FERRITINA,0.07929529956114799,1.0825239437214385,SO_SIMP_1
cat__ENT_14,-0.016601411412232394,0.9835356325955438,SO_SIMP_1
num__HCST,-0.03658183635260952,0.9640791939430668,SO_SIMP_1
cat__ENT_28,-0.08497070370206672,0.9185391938051676,SO_SIMP_1
cat__REGION_2,-0.09892834164477851,0.9058076143817729,SO_SIMP_1
num__EDAD,-0.10719058115954959,0.898354447242381,SO_SIMP_1
num__VIT_B12,-0.14458067833050875,0.8653850917621878,SO_SIMP_1
cat__REGION_3,-0.25712426938644456,0.7732721137432979,SO_SIMP_1
cat__ENT_20,-0.2639922389484266,0.7679794999620836,SO_SIMP_1
num__CINTURA21_1,-0.5711867094076175,0.564854722392574,SO_SIMP_1
cat__ENT_29,-0.5882684595189149,0.5552879563486629,SO_SIMP_1
cat__ENT_4,-0.6914819611524371,0.5008333033276314,SO_SIMP_1
cat__ENT_10,-0.8679581905465779,0.419807842377633,SO_SIMP_1
cat__ENT_21,-0.9956470840875582,0.3694842797745009,SO_SIMP_1
num__CRP,-1.3791723992332277,0.25178684584291705,SO_SIMP_1
cat__ENT_22,-1.5780307370215523,0.20638111698792785,SO_SIMP_1
cat__ENT_9,-1.7114558508307813,0.18060267058237092,SO_SIMP_1
cat__ENT_2,-1.9836054860816703,0.13757232693747912,SO_SIMP_1
cat__ENT_5,-2.0080043122953644,0.13425634121998664,SO_SIMP_1
cat__ENT_6,-2.252740334903225,0.10511079077111454,SO_SIMP_1
cat__ENT_18,-2.3458273657727275,0.0957679342323389,SO_SIMP_1
cat__ENT_7,-2.4962312098303183,0.08239494345143489,SO_SIMP_1
